;Date;Tirage;Gagnant;Jackpot
0;31/12/2004;7 8 24 25 47 8 9;0;10 000 000 €
1;24/12/2004;3 4 27 29 37 5 6;1;10 000 000 €
2;17/12/2004;15 19 22 46 49 2 9;1;26 215 627 €
3;10/12/2004;1 3 13 16 43 2 7;0;17 000 000 €
4;03/12/2004;1 11 15 42 49 3 4;0;10 000 000 €
5;26/11/2004;1 4 24 34 36 6 8;1;43 756 502 €
6;19/11/2004;1 18 29 34 37 2 6;0;32 000 000 €
7;12/11/2004;4 11 12 13 32 3 9;0;24 000 000 €
8;05/11/2004;6 19 25 42 49 1 7;0;17 000 000 €
9;29/10/2004;1 8 32 35 38 4 9;0;10 000 000 €
10;22/10/2004;1 9 23 25 40 3 9;1;25 059 130 €
11;15/10/2004;14 21 22 37 43 5 8;0;17 000 000 €
12;08/10/2004;1 10 12 16 48 2 6;0;10 000 000 €
13;01/10/2004;12 20 21 45 48 5 6;1;29 785 269 €
14;24/09/2004;21 26 27 44 48 1 7;0;25 000 000 €
15;17/09/2004;15 18 29 39 41 5 8;0;22 000 000 €
16;10/09/2004;5 25 33 36 38 2 5;0;19 000 000 €
17;03/09/2004;8 12 14 15 34 6 7;0;17 000 000 €
18;27/08/2004;1 11 22 28 44 1 9;0;14 000 000 €
19;20/08/2004;6 9 10 27 35 6 8;0;12 000 000 €
20;13/08/2004;20 27 41 43 50 5 8;0;10 000 000 €
21;06/08/2004;5 15 24 35 44 5 6;1;24 746 858 €
22;30/07/2004;9 10 19 37 50 1 6;0;22 000 000 €
23;23/07/2004;7 10 27 31 34 3 8;0;19 000 000 €
24;16/07/2004;24 26 31 38 50 5 8;0;17 000 000 €
25;09/07/2004;2 5 12 19 44 8 9;0;14 000 000 €
26;02/07/2004;4 23 24 28 34 1 3;0;12 000 000 €
27;25/06/2004;3 21 30 34 35 1 2;0;10 000 000 €
28;18/06/2004;2 23 28 40 43 2 6;1;12 286 876 €
29;11/06/2004;2 7 8 10 47 1 7;0;10 000 000 €
30;04/06/2004;9 13 34 41 42 3 7;1;12 488 171 €
31;28/05/2004;6 11 35 41 44 5 6;0;10 000 000 €
32;21/05/2004;15 29 37 39 49 4 9;1;10 000 000 €
33;14/05/2004;1 3 21 32 39 2 6;1;33 816 137 €
34;07/05/2004;15 16 21 36 38 1 5;0;25 000 000 €
35;30/04/2004;5 6 16 23 27 6 7;0;20 000 000 €
36;23/04/2004;6 10 21 45 49 3 5;0;17 000 000 €
37;16/04/2004;14 15 28 35 40 1 3;0;15 000 000 €
38;09/04/2004;1 4 10 19 23 2 8;1;25 556 285 €
39;02/04/2004;4 12 24 27 36 2 9;0;22 000 000 €
40;26/03/2004;3 4 10 23 43 2 4;0;20 000 000 €
41;19/03/2004;33 36 37 42 45 4 9;0;17 000 000 €
42;12/03/2004;15 24 28 44 47 4 5;0;15 000 000 €
43;05/03/2004;4 7 33 37 39 1 5;1;20 678 070 €
44;27/02/2004;14 18 19 31 37 4 5;0;17 000 000 €
45;20/02/2004;7 13 39 47 50 2 5;0;15 000 000 €
46;13/02/2004;16 29 32 36 41 7 9;1;15 000 000 €
47;30/12/2005;8 16 19 43 45 1 4;0;75 000 000 €
48;23/12/2005;15 31 36 37 42 1 7;0;64 000 000 €
49;16/12/2005;2 3 15 18 32 6 7;0;55 000 000 €
50;09/12/2005;11 18 35 38 42 1 5;0;44 000 000 €
