Date;Gagnant;Jackpot;n1;n2;n3;n4;n5;e1;e2
2004-02-13;1;15 000 000 €;16;29;32;36;41;7;9
2004-02-20;0;15 000 000 €;7;13;39;47;50;2;5
2004-02-27;0;17 000 000 €;14;18;19;31;37;4;5
2004-03-05;1;20 678 070 €;4;7;33;37;39;1;5
2004-03-12;0;15 000 000 €;15;24;28;44;47;4;5
2004-03-19;0;17 000 000 €;33;36;37;42;45;4;9
2004-03-26;0;20 000 000 €;3;4;10;23;43;2;4
2004-04-02;0;22 000 000 €;4;12;24;27;36;2;9
2004-04-09;1;25 556 285 €;1;4;10;19;23;2;8
2004-04-16;0;15 000 000 €;14;15;28;35;40;1;3
2004-04-23;0;17 000 000 €;6;10;21;45;49;3;5
2004-04-30;0;20 000 000 €;5;6;16;23;27;6;7
2004-05-07;0;25 000 000 €;15;16;21;36;38;1;5
2004-05-14;1;33 816 137 €;1;3;21;32;39;2;6
2004-05-21;1;10 000 000 €;15;29;37;39;49;4;9
2004-05-28;0;10 000 000 €;6;11;35;41;44;5;6
2004-06-04;1;12 488 171 €;9;13;34;41;42;3;7
2004-06-11;0;10 000 000 €;2;7;8;10;47;1;7
2004-06-18;1;12 286 876 €;2;23;28;40;43;2;6
2004-06-25;0;10 000 000 €;3;21;30;34;35;1;2
2004-07-02;0;12 000 000 €;4;23;24;28;34;1;3
2004-07-09;0;14 000 000 €;2;5;12;19;44;8;9
2004-07-16;0;17 000 000 €;24;26;31;38;50;5;8
2004-07-23;0;19 000 000 €;7;10;27;31;34;3;8
2004-07-30;0;22 000 000 €;9;10;19;37;50;1;6
2004-08-06;1;24 746 858 €;5;15;24;35;44;5;6
2004-08-13;0;10 000 000 €;20;27;41;43;50;5;8
2004-08-20;0;12 000 000 €;6;9;10;27;35;6;8
2004-08-27;0;14 000 000 €;1;11;22;28;44;1;9
2004-09-03;0;17 000 000 €;8;12;14;15;34;6;7
2004-09-10;0;19 000 000 €;5;25;33;36;38;2;5
2004-09-17;0;22 000 000 €;15;18;29;39;41;5;8
2004-09-24;0;25 000 000 €;21;26;27;44;48;1;7
2004-10-01;1;29 785 269 €;12;20;21;45;48;5;6
2004-10-08;0;10 000 000 €;1;10;12;16;48;2;6
2004-10-15;0;17 000 000 €;14;21;22;37;43;5;8
2004-10-22;1;25 059 130 €;1;9;23;25;40;3;9
2004-10-29;0;10 000 000 €;1;8;32;35;38;4;9
2004-11-05;0;17 000 000 €;6;19;25;42;49;1;7
2004-11-12;0;24 000 000 €;4;11;12;13;32;3;9
2004-11-19;0;32 000 000 €;1;18;29;34;37;2;6
2004-11-26;1;43 756 502 €;1;4;24;34;36;6;8
2004-12-03;0;10 000 000 €;1;11;15;42;49;3;4
2004-12-10;0;17 000 000 €;1;3;13;16;43;2;7
2004-12-17;1;26 215 627 €;15;19;22;46;49;2;9
2004-12-24;1;10 000 000 €;3;4;27;29;37;5;6
2004-12-31;0;10 000 000 €;7;8;24;25;47;8;9
2005-01-07;0;0 €;3;23;27;47;50;2;3
2005-01-14;2;26 007 362 €;6;11;14;19;29;1;3
2005-01-21;0;10 000 000 €;10;12;14;24;26;5;8
2005-01-28;0;17 000 000 €;7;21;26;43;45;5;7
2005-02-04;0;25 000 000 €;1;8;11;30;40;7;8
2005-02-11;1;34 776 948 €;11;13;25;32;50;4;7
2005-02-18;1;10 000 000 €;20;21;26;32;46;8;9
2005-02-25;0;10 000 000 €;3;27;30;43;44;4;8
2005-03-04;0;17 000 000 €;12;24;32;37;39;7;9
2005-03-11;0;26 000 000 €;8;12;23;40;43;1;4
2005-03-18;0;35 000 000 €;6;23;39;43;48;5;7
2005-03-25;0;44 000 000 €;4;29;33;37;38;6;9
2005-04-01;0;51 000 000 €;25;26;41;44;47;3;7
2005-04-08;1;64 040 749 €;7;11;25;31;50;1;3
2005-04-15;0;15 000 000 €;6;28;31;38;42;3;9
2005-04-22;2;23 749 558 €;3;10;13;24;47;5;9
2005-04-29;0;15 000 000 €;3;9;35;39;42;1;8
2005-05-06;0;23 000 000 €;7;12;21;26;44;6;8
2005-05-13;0;32 000 000 €;12;17;31;32;40;2;9
2005-05-20;1;43 020 745 €;6;7;13;28;47;5;8
2005-05-27;0;15 000 000 €;2;24;31;48;50;4;9
2005-06-03;0;23 000 000 €;3;8;11;17;50;1;5
2005-06-10;0;32 000 000 €;6;7;32;37;47;1;7
2005-06-17;0;42 000 000 €;4;8;10;18;21;1;7
2005-06-24;0;52 000 000 €;6;8;14;15;45;7;8
2005-07-01;0;60 000 000 €;4;5;23;25;28;3;4
2005-07-08;0;69 000 000 €;35;36;42;46;49;2;8
2005-07-15;0;81 000 000 €;1;11;12;23;42;3;6
2005-07-22;0;96 000 000 €;3;14;41;48;49;1;4
2005-07-29;1;115 436 126 €;3;19;26;49;50;4;5
2005-08-05;0;15 000 000 €;2;11;21;22;30;4;6
2005-08-12;0;24 000 000 €;15;23;30;37;40;7;9
2005-08-19;0;35 000 000 €;11;24;29;31;41;1;3
2005-08-26;0;45 000 000 €;9;29;35;40;41;1;6
2005-09-02;0;57 000 000 €;3;4;14;43;50;3;6
2005-09-09;0;66 000 000 €;8;12;19;31;50;6;7
2005-09-16;1;75 888 514 €;12;13;19;21;38;3;9
2005-09-23;0;15 000 000 €;1;26;31;34;47;4;9
2005-09-30;4;25 066 380 €;6;11;47;48;50;1;6
2005-10-07;2;15 000 000 €;2;13;21;26;44;3;9
2005-10-14;1;15 000 000 €;10;11;19;20;23;1;6
2005-10-21;0;15 000 000 €;1;14;19;29;33;1;8
2005-10-28;0;24 000 000 €;14;36;44;47;50;3;5
2005-11-04;0;34 000 000 €;26;36;37;38;42;2;6
2005-11-11;1;45 117 030 €;15;16;36;41;42;3;5
2005-11-18;0;15 000 000 €;17;18;25;34;48;2;3
2005-11-25;0;24 000 000 €;1;6;27;39;47;1;6
2005-12-02;0;34 000 000 €;1;9;20;23;30;4;7
2005-12-09;0;44 000 000 €;11;18;35;38;42;1;5
2005-12-16;0;55 000 000 €;2;3;15;18;32;6;7
2005-12-23;0;64 000 000 €;15;31;36;37;42;1;7
2005-12-30;0;75 000 000 €;8;16;19;43;45;1;4
2006-01-06;0;0 €;2;6;9;14;26;4;5
2006-01-13;0;103 000 000 €;8;12;19;33;34;1;6
2006-01-20;0;125 000 000 €;12;15;33;44;50;2;6
2006-01-27;0;152 882 223 €;9;15;21;40;49;1;4
2006-02-03;3;183 573 078 €;9;21;30;39;50;1;3
2006-02-10;0;15 000 000 €;5;6;38;48;50;6;7
2006-02-17;1;27 813 382 €;4;23;24;26;38;2;4
2006-02-24;0;15 000 000 €;1;11;18;19;47;3;7
2006-03-03;0;26 842 720 €;3;5;8;10;44;3;5
2006-03-10;0;39 080 314 €;1;21;33;45;49;4;8
2006-03-17;0;51 865 203 €;5;32;44;45;50;1;7
2006-03-24;0;65 117 842 €;17;28;33;35;47;4;9
2006-03-31;1;75 753 123 €;3;20;31;45;50;6;7
2006-04-07;0;15 000 000 €;12;13;29;44;50;4;5
2006-04-14;1;25 915 863 €;16;26;34;35;49;2;6
2006-04-21;0;15 000 000 €;1;20;22;37;46;1;9
2006-04-28;4;25 811 932 €;5;10;17;22;33;5;7
2006-05-05;0;15 000 000 €;4;8;14;16;50;3;9
2006-05-12;2;25 640 376 €;5;20;23;34;50;1;5
2006-05-19;1;15 000 000 €;3;5;25;34;49;5;8
2006-05-26;2;15 000 000 €;2;12;21;41;49;3;7
2006-06-02;0;15 000 000 €;7;8;27;41;48;1;6
2006-06-09;0;25 187 106 €;3;12;15;34;39;4;6
2006-06-16;0;35 662 152 €;1;16;26;30;36;3;9
2006-06-23;0;46 811 687 €;9;21;30;43;44;1;9
2006-06-30;0;58 765 947 €;6;15;16;40;43;1;2
2006-07-07;2;68 408 266 €;7;9;18;35;43;5;7
2006-07-14;0;15 000 000 €;1;7;17;31;36;2;8
2006-07-21;1;25 042 525 €;2;4;9;38;50;6;8
2006-07-28;0;15 000 000 €;3;8;12;29;43;6;7
2006-08-04;0;24 977 577 €;1;14;15;26;32;3;7
2006-08-11;0;35 197 614 €;27;28;31;46;47;2;5
2006-08-18;0;45 929 071 €;12;37;39;40;50;1;2
2006-08-25;1;57 414 511 €;10;28;40;47;48;6;8
2006-09-01;0;15 000 000 €;3;7;25;45;50;6;9
2006-09-08;0;25 256 582 €;1;10;12;32;33;1;8
2006-09-15;0;35 980 458 €;6;10;16;26;49;7;9
2006-09-22;0;47 213 250 €;10;29;30;45;49;3;8
2006-09-29;0;59 132 969 €;1;3;6;18;24;5;8
2006-10-06;0;69 208 821 €;5;11;22;35;38;7;8
2006-10-13;0;82 724 345 €;2;25;32;38;41;3;5
2006-10-20;0;96 837 646 €;10;19;34;45;47;3;6
2006-10-27;0;113 230 830 €;3;4;8;44;50;7;8
2006-11-03;0;131 523 150 €;11;13;24;44;49;3;9
2006-11-10;0;153 564 446 €;14;21;27;30;36;2;3
2006-11-17;0;183 109 057 €;12;22;32;33;36;2;6
2006-11-24;2;15 000 000 €;5;8;17;25;40;1;5
2006-12-01;0;15 000 000 €;4;8;16;37;41;2;5
2006-12-08;0;26 982 938 €;16;17;18;36;47;1;2
2006-12-15;0;39 640 847 €;9;23;35;37;42;3;7
2006-12-22;0;53 119 776 €;9;11;20;38;43;2;3
2006-12-29;0;66 983 488 €;6;9;13;14;35;3;4
2007-01-05;2;78 312 156 €;17;19;29;36;45;5;6
2007-01-12;1;15 000 000 €;8;11;14;19;25;3;5
2007-01-19;1;15 000 000 €;5;13;27;33;42;2;4
2007-01-26;0;15 000 000 €;11;15;23;30;38;4;9
2007-02-02;1;27 173 863 €;14;23;27;30;36;1;6
2007-02-09;1;100 000 000 €;14;16;30;36;46;2;8
2007-02-16;0;15 000 000 €;8;19;20;39;50;6;9
2007-02-23;0;28 224 030 €;2;15;18;20;22;2;5
2007-03-02;2;42 201 702 €;3;16;34;38;48;5;8
2007-03-09;0;15 000 000 €;2;3;25;43;48;6;9
2007-03-16;0;27 699 321 €;4;14;31;45;49;4;9
2007-03-23;1;41 023 864 €;5;13;17;40;43;1;3
2007-03-30;0;15 000 000 €;9;17;19;41;46;1;8
2007-04-06;1;26 945 909 €;15;23;29;41;48;3;6
2007-04-13;1;15 000 000 €;7;20;25;38;41;3;7
2007-04-20;0;15 000 000 €;23;26;32;41;45;3;7
2007-04-27;0;26 851 565 €;7;18;27;36;44;1;2
2007-05-04;0;39 605 256 €;6;17;35;41;45;1;5
2007-05-11;3;53 347 665 €;7;12;26;29;49;2;6
2007-05-18;1;15 000 000 €;26;34;37;39;49;2;6
2007-05-25;1;15 000 000 €;25;26;29;49;50;7;8
2007-06-01;1;15 000 000 €;6;22;37;41;42;6;9
2007-06-08;0;15 000 000 €;1;15;17;25;45;2;8
2007-06-15;1;26 938 896 €;5;7;14;21;40;3;8
2007-06-22;0;15 000 000 €;11;16;17;22;34;5;6
2007-06-29;0;26 816 658 €;8;12;28;33;45;1;3
2007-07-06;0;39 898 280 €;4;5;19;39;41;8;9
2007-07-13;1;56 945 074 €;9;13;15;31;48;3;6
2007-07-20;0;15 000 000 €;10;21;25;26;50;4;9
2007-07-27;0;27 731 341 €;1;4;21;29;41;7;8
2007-08-03;0;39 185 012 €;10;30;33;37;41;1;8
